n_qubits,J,h,dt,depth,virtual_nodes,reupload,amplitude_damping,dephasing,feature_dim,mean_val_nrmse,median_val_nrmse,mean_test_nrmse,median_test_nrmse
6,1.0,1.0,0.2,5,5,False,0.005,0.005,60,0.986530341455614,0.9795043982013032,0.983759504889455,0.9783361111308752
6,1.0,1.0,0.25,5,5,False,0.0,0.0,60,0.9517282291478456,0.9749594521036168,1.0422162059521556,0.9837894436755394
6,1.0,1.0,0.25,5,5,False,0.0,0.005,60,1.013092343635957,0.9996235302862012,1.0199904497568717,0.9847854209203962
6,1.0,1.0,0.25,5,5,False,0.005,0.0,60,1.0294921622660005,1.004621533409276,1.017339941155226,0.9880423557016946
6,1.0,1.0,0.25,5,5,False,0.005,0.005,60,1.0321889971906393,1.000557589116244,1.0131224776059835,0.9997512643586794
6,1.2,1.0,0.15,5,5,False,0.0,0.0,60,0.9212456634671724,0.975261865757688,0.9074429327995948,0.9510259798852412
6,1.2,1.0,0.15,5,5,False,0.0,0.005,60,0.9724763754896686,0.985839193427052,0.9693760395046728,0.9967249923263936
6,1.2,1.0,0.15,5,5,False,0.005,0.0,60,0.9643390529255408,0.9926452887076318,1.0460408998237645,0.9946904530781154
6,1.2,1.0,0.15,5,5,False,0.005,0.005,60,0.9697773297152104,0.9785079477871672,1.008337139920227,0.9923993014714558
6,1.2,1.0,0.2,5,5,False,0.0,0.0,60,0.9384252063852728,0.983172956243911,0.9086011221958168,0.9423219139263784
6,1.2,1.0,0.2,5,5,False,0.0,0.005,60,0.996400496138678,0.9859719553991476,0.9439918636343524,0.9570402915567444
6,1.2,1.0,0.2,5,5,False,0.005,0.0,60,0.9468379207562334,0.9851765105460952,0.9415667754198856,0.9709758328471184
6,1.2,1.0,0.2,5,5,False,0.005,0.005,60,0.9913056101127716,0.9935262979584844,0.9751406085674968,0.9971846380976136
6,1.2,1.0,0.25,5,5,False,0.0,0.0,60,0.9213741376623796,0.9872857884832666,0.9466815253440164,0.9387213418087584
