source_index,name,family,task_type,seed,length,horizon,nrmse_esn_matched,nrmse_qrc_J1,nrmse_qrc_J0,advantage_J1_vs_esn,advantage_J0_vs_esn,paired_delta_J0_minus_J1,paired_effect_J1_better,feature_dim,n_qubits,depth,virtual_nodes,matched_qrc_seeds
408,circle_map_k1.31_s008,chaotic_map,forecast,3208,800,186,3.532344387600477e-09,1.6505971315767203e-05,8.120081849246408e-12,-1.6502438971379604e-05,3.5242243057512306e-09,-1.6505963195685353e-05,-1.6505963195685353e-05,60,6,5,5,0
409,circle_map_k1.41_s009,chaotic_map,forecast,3209,800,1,0.7426707703918919,0.7545942644687992,0.7663956045291808,-0.011923494076907293,-0.023724834137288875,0.011801340060381582,0.011801340060381582,60,6,5,5,0
410,circle_map_k0.34_s010,chaotic_map,forecast,3210,800,1,0.1962869994553751,0.39120787095957493,0.3937029450879388,-0.19492087150419984,-0.1974159456325637,0.002495074128363861,0.002495074128363861,60,6,5,5,0
411,circle_map_k1.04_s011,chaotic_map,forecast,3211,800,149,7.059780821389332e-07,7.174527584061692e-05,1.1016531380808084e-09,-7.103929775847798e-05,7.048764290008524e-07,-7.174417418747884e-05,-7.174417418747884e-05,60,6,5,5,0
412,circle_map_k0.87_s012,chaotic_map,forecast,3212,800,1,0.0683133412069713,0.38939245540018724,0.42294709883165643,-0.32107911419321594,-0.35463375762468513,0.03355464343146919,0.03355464343146919,60,6,5,5,0
413,circle_map_k1.20_s013,chaotic_map,forecast,3213,800,2,3.2306627653791456e-08,0.011077960422951333,0.10456211057335532,-0.011077928116323679,-0.10456207826672767,0.09348415015040398,0.09348415015040398,60,6,5,5,0
414,circle_map_k1.64_s014,chaotic_map,forecast,3214,800,1,0.7090843435635902,0.46567065759926385,0.48090731880616694,0.24341368596432633,0.22817702475742324,0.01523666120690309,0.01523666120690309,60,6,5,5,0
415,circle_map_k1.49_s015,chaotic_map,forecast,3215,800,1,3.877002258672475e-08,0.0013108351956467985,3.086256536488169e-10,-0.0013107964256242118,3.8461396933075934e-08,-0.0013108348870211448,-0.0013108348870211448,60,6,5,5,0
416,circle_map_k1.26_s016,chaotic_map,forecast,3216,800,148,1.1337904361688615e-07,0.00039760675783485845,3.1215036533674334e-10,-0.00039749337879124155,1.1306689325154941e-07,-0.0003976064456844931,-0.0003976064456844931,60,6,5,5,0
417,circle_map_k1.58_s017,chaotic_map,forecast,3217,800,1,0.0299973506461039,0.3661600914367612,0.6659734644665336,-0.33616274079065733,-0.6359761138204297,0.2998133730297724,0.2998133730297724,60,6,5,5,0
418,circle_map_k0.63_s018,chaotic_map,forecast,3218,800,1,0.2844017178756649,0.5062221203596106,0.40732469133918175,-0.2218204024839457,-0.12292297346351688,-0.0988974290204288,-0.0988974290204288,60,6,5,5,0
